redirecting_url,http_status,final_url,final_status,hops,total_links_in,pages_linking,content_links,top_anchor
https://www.gjel.com/contact-us/,301,https://www.gjel.com/contact-us,200,1,966,966,0,Free Case Evaluation
https://www.gjel.com/author/andy,301,https://www.gjel.com,200,1,542,542,48,Andy Gillin
https://www.gjel.com/attorneys/,301,https://www.gjel.com/attorneys,200,1,472,472,0,View All Attorneys
https://www.gjel.com/four-critical-signs-your-injury-may-be-severe-when-to-seek-immediate-medical-care,301,https://www.gjel.com/recognize-signs-of-severe-injury-after-accident,200,1,65,64,0,Emergency responders
https://www.gjel.com/car-accident-lawyers/resulting-deathhttps://www.gjel.com/crush-injury-settlement-calculator,301,https://www.gjel.com/crush-injury-settlement-calculator,200,1,55,54,1,Fatal car accident settlement calculators
https://www.gjel.com/blog/can-you-trust-personal-injury-settlement-calculators,301,https://www.gjel.com/blog,200,1,41,41,39,significant limitations
https://www.gjel.com/pleasanton/brain-injury-attorney,301,https://www.gjel.com/pleasanton,200,1,23,23,0,Pleasanton Brain Injury Office
https://www.gjel.com/blog/causes-distracted-driving,301,https://www.gjel.com/blog,200,1,21,17,7,distracted driving
https://www.gjel.com/blog/195k-bicycle-dooring-settlement-in-san-jose,301,https://www.gjel.com/blog,200,1,13,13,1,"$195,000 bicycle dooring settlement in San Jose"
https://www.gjel.com/blog/san-jose-car-accident-statistics,301,https://www.gjel.com/blog,200,1,12,12,0,San Jose car accident statistics
https://www.gjel.com/blog/the-most-dangerous-intersections-in-san-jose-california,301,https://www.gjel.com/blog,200,1,12,12,0,Most dangerous intersections in San Jose
https://www.gjel.com/blog/san-jose-i-280-off-ramp-collision-raises-questions-about-intersection-safety,301,https://www.gjel.com/blog,200,1,12,12,0,I‑280 off‑ramp collision and intersection safety questions
https://www.gjel.com/blog/100k-pedestrian-accident-settlement-in-san-jose,301,https://www.gjel.com/blog,200,1,12,12,0,"$100,000 pedestrian accident settlement in San Jose"
https://www.gjel.com/blog/fatal-collision-in-san-jose-legal-options,301,https://www.gjel.com/blog,200,1,12,12,0,Fatal collision in San Jose and legal options for families
https://www.gjel.com/blog/fatal-pedestrian-accident-in-san-jose,301,https://www.gjel.com/blog,200,1,12,12,0,Fatal pedestrian accident in San Jose report
https://www.gjel.com/blog/first-pedestrian-fatality-of-2025-north-san-jose-collision-claims-life-of-man-outside-crosswalk,301,https://www.gjel.com/blog,200,1,12,12,0,North San Jose first pedestrian fatality of 2025
https://www.gjel.com/blog/rear-end-collision-in-san-jose,301,https://www.gjel.com/blog,200,1,12,12,0,Rear‑end collision in San Jose
https://www.gjel.com/blog/tragic-two-vehicle-collision-in-san-jose-claims-life-of-solo-male-driver,301,https://www.gjel.com/blog,200,1,12,12,0,Two‑vehicle collision in San Jose
https://www.gjel.com/blog/fatal-hit-and-run-in-san-jose-pedestrian-killed-driver-apprehended,301,https://www.gjel.com/blog,200,2,10,10,0,"Fatal hit‑and‑run in San Jose, pedestrian killed, driver apprehended"
https://www.gjel.com/blog/sacramento-truck-accident-420k-settlement,301,https://www.gjel.com/blog,200,1,10,9,2,"$420,000 Sacramento Truck Accident Settlement"
https://www.gjel.com/insurance/geico,301,https://www.gjel.com/blog,200,1,9,8,0,Geico Insurance
https://www.gjel.com/news/social-media-tips-for-personal-injury-plaintiffs,301,https://www.gjel.com/blog,200,1,9,7,4,Social Media and Your Personal Injury Case: Tips & What You Need to Know
https://www.gjel.com/blog/stockton-motorcycle-accident-100k-settlement,301,https://www.gjel.com/blog,200,1,9,9,1,Stockton motorcycle accident 100K settlement
https://www.gjel.com/blog/davis-motorcycle-accident-lodged-under-semi-truck,301,https://www.gjel.com/blog,200,1,9,9,3,Motorcycle Lodged Under Semi on I‑80 in Davis
https://www.gjel.com/blog/truck-accident-two-injured-after-200-foot-plunge,301,https://www.gjel.com/blog,200,1,8,8,2,Truck Goes 200 Feet Down Embankment in Shasta County
https://www.gjel.com/blog/two-injured-in-a-crane-truck-traffic-accident,301,https://www.gjel.com/blog,200,1,8,8,2,Crane Truck Crash in Salinas
https://www.gjel.com/car-accident-lawyers/suv-rolloverhttps://www.gjel.com/crush-injury-settlement-calculator,301,https://www.gjel.com/crush-injury-settlement-calculator,200,1,6,6,0,Rollover accident settlement calculators
https://www.gjel.com/news/insurance-fraud-complaints,301,https://www.gjel.com/blog,200,1,6,4,4,Where to File Insurance Complaints in 2024
https://www.gjel.com/blog/elderly-pedestrian-fatality-in-stockton,301,https://www.gjel.com/blog,200,1,6,6,0,Elderly pedestrian fatally struck in Stockton
https://www.gjel.com/blog/fatal-collision-in-stockton-claims-life-of-woman-in-her-30s,301,https://www.gjel.com/blog,200,1,6,6,0,Fatal collision in Stockton
https://www.gjel.com/blog/semi-truck-accident-on-highway-395-leaves-driver-critically-injured,301,https://www.gjel.com/blog,200,1,6,6,2,Semi‑Truck Crash on Highway 395
https://www.gjel.com/blog/rancho-cordova-dump-truck-collision,301,https://www.gjel.com/blog,200,1,6,6,2,Dump Truck Collision in Rancho Cordova
https://www.gjel.com/blog/should-bay-area-carpool-lanes-be-enforced-247,301,https://www.gjel.com/blog,200,1,5,4,2,Should Bay Area carpool lanes be enforced 24/7?
https://www.gjel.com/blog/simpsons-lawsuits-list-lionel-hutz,301,https://www.gjel.com/blog,200,1,5,4,2,Lionel Hutz Lawsuits In The Simpsons
https://www.gjel.com/insurance/aaa-csaa,301,https://www.gjel.com/blog,200,1,5,4,0,CSAA
https://www.gjel.com/truck-accident-lawyers/logging-truck-accidenthttps://www.gjel.com/crush-injury-settlement-calculator,301,https://www.gjel.com/crush-injury-settlement-calculator,200,1,5,5,1,Logging Truck Accident Settlement Calculator
https://www.gjel.com/car-accident-lawyers/rear-end-car-accidentshttps://www.gjel.com/crush-injury-settlement-calculator,301,https://www.gjel.com/crush-injury-settlement-calculator,200,1,4,4,0,Rear-end settlement calculators
https://www.gjel.com/blog/motorcycle-accident-1-35m-settlement,301,https://www.gjel.com/blog,200,1,4,4,2,Client Awarded $1.35 Million After Severe Motorcycle Collision in Santa Clara County
https://www.gjel.com/blog/loss-of-earnings-calculated-if-self-employed,301,https://www.gjel.com/blog,200,1,4,4,1,loss of earnings
https://www.gjel.com/blog/auto-insurance-i-need-in-california,301,https://www.gjel.com/blog,200,1,4,3,2,California Minimum Auto Insurance Requirements
https://www.gjel.com/blog/the-complicated-story-behind-widening-highway-1-in-santa-cruz-html,301,https://www.gjel.com/blog,200,1,4,3,2,The complicated story behind widening Highway 1 in Santa Cruz
https://www.gjel.com/blog/what-is-a-protected-intersection,301,https://www.gjel.com/blog,200,1,4,3,2,What is a protected intersection?
https://www.gjel.com/headlines/traffic-congestion-crossing-richmond-san-rafael-bridge,301,https://www.gjel.com/blog,200,1,4,3,2,Will a Third Westbound Lane Solve Traffic Congestion crossing the Richmond-San Rafael Bridge?
https://www.gjel.com/headlines/gjel-news-center-consumer-library-we-welcome-your-input,301,https://www.gjel.com/blog,200,1,4,3,2,GJEL News Center Consumer Library: We Welcome Your Input
https://www.gjel.com/news/legal-dictionary,301,https://www.gjel.com/blog,200,1,4,3,2,GJEL Legal Dictionary
https://www.gjel.com/blog/medical-malpractice-and-michael-jacksons-death,301,https://www.gjel.com/blog,200,1,4,3,2,Medical malpractice and Michael Jackson’s death
https://www.gjel.com/blog/bart-excursion-fare-earns-millions-from-passengers,301,https://www.gjel.com/blog,200,1,4,3,2,BART’s Excursion Fare: How the Agency Earns Millions from Passengers Not Riding Trains
https://www.gjel.com/mocktrial/california-mock-trial-qa-with-luke-ellis,301,https://www.gjel.com/blog,200,1,4,3,2,California Mock Trial Q&A With Luke Ellis
https://www.gjel.com/mocktrial/defense-checklist,301,https://www.gjel.com/blog,200,1,4,3,2,Defense Checklist
https://www.gjel.com/mocktrial/prosecution-checklist,301,https://www.gjel.com/blog,200,1,4,3,2,Prosecution Checklist
https://www.gjel.com/blog/motorcycle-accident-tbi-settlement-425k-in-san-francisco,301,https://www.gjel.com/blog,200,1,4,4,1,"$425,000 Settlement Secured for Motorcyclist with TBI and Spinal Fracture"
https://www.gjel.com/blog/how-to-get-an-accident-report-in-san-jose,301,https://www.gjel.com/blog,200,1,4,3,2,How to Get an Accident Report in San Jose
https://www.gjel.com/news/how-do-i-afford-to-pay-my-air-ambulance-bill,301,https://www.gjel.com/blog,200,1,4,3,2,How Do I Afford to Pay My Air Ambulance Bill?
